,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
split3_test_score,0.7051282051282052,0.6923076923076923,0.7307692307692307,0.7564102564102564,0.7307692307692307,0.717948717948718,0.7307692307692307,0.717948717948718,0.6666666666666666,0.6025641025641025,0.6666666666666666,0.7307692307692307,0.7435897435897436,0.717948717948718,0.7307692307692307,0.6794871794871795,0.7051282051282052,0.7564102564102564,0.6794871794871795,0.6282051282051282,0.7307692307692307,0.782051282051282,0.717948717948718,0.7435897435897436,0.7564102564102564,0.782051282051282,0.6794871794871795,0.717948717948718,0.6410256410256411,0.6666666666666666,0.6794871794871795,0.7692307692307693,0.7564102564102564,0.7948717948717948,0.6923076923076923,0.7435897435897436,0.6538461538461539,0.7307692307692307,0.6666666666666666,0.6282051282051282,0.717948717948718,0.7435897435897436,0.717948717948718,0.782051282051282,0.717948717948718,0.6794871794871795,0.6538461538461539,0.6794871794871795,0.7051282051282052,0.5641025641025641
split4_test_score,0.7564102564102564,0.6923076923076923,0.6410256410256411,0.7307692307692307,0.717948717948718,0.6153846153846154,0.6153846153846154,0.6538461538461539,0.6666666666666666,0.5641025641025641,0.717948717948718,0.6923076923076923,0.6410256410256411,0.7051282051282052,0.6282051282051282,0.6666666666666666,0.6923076923076923,0.6282051282051282,0.6153846153846154,0.5769230769230769,0.6794871794871795,0.7051282051282052,0.717948717948718,0.7435897435897436,0.717948717948718,0.6923076923076923,0.6794871794871795,0.6666666666666666,0.6923076923076923,0.6410256410256411,0.7051282051282052,0.7307692307692307,0.6666666666666666,0.7307692307692307,0.6923076923076923,0.7435897435897436,0.7435897435897436,0.7307692307692307,0.6538461538461539,0.6666666666666666,0.6666666666666666,0.6794871794871795,0.6794871794871795,0.7692307692307693,0.7051282051282052,0.717948717948718,0.717948717948718,0.7564102564102564,0.6666666666666666,0.6025641025641025
mean_test_score,0.717948717948718,0.7205128205128206,0.7205128205128205,0.7128205128205128,0.6897435897435897,0.6846153846153846,0.6743589743589744,0.6923076923076923,0.6435897435897435,0.5974358974358974,0.7,0.7153846153846153,0.7076923076923077,0.7076923076923077,0.6974358974358974,0.6897435897435897,0.7051282051282051,0.6846153846153846,0.6871794871794873,0.6282051282051283,0.7128205128205127,0.7256410256410256,0.7128205128205128,0.7205128205128204,0.7230769230769231,0.7102564102564102,0.7076923076923078,0.6820512820512821,0.6487179487179487,0.6538461538461539,0.7,0.7512820512820513,0.7307692307692307,0.723076923076923,0.7128205128205127,0.7153846153846154,0.7256410256410256,0.6948717948717948,0.6641025641025641,0.641025641025641,0.7,0.7256410256410257,0.7076923076923076,0.7358974358974358,0.7025641025641025,0.7102564102564102,0.7205128205128205,0.7179487179487178,0.6923076923076923,0.6282051282051282
std_test_score,0.019861453057473905,0.03283653455093769,0.04244344963396626,0.030982169163063008,0.035713816095343874,0.03939049101471081,0.03854691379069974,0.056176672564632414,0.02350038817926069,0.017390589700321205,0.019187986598840745,0.024859896704699114,0.042443449633966256,0.017008332258232794,0.04905417043515128,0.022057244274468257,0.02564102564102566,0.04629607714171227,0.06617173282340481,0.03343180720616745,0.019187986598840696,0.02990231740946306,0.0263990516435564,0.03478117940064242,0.026399051643556402,0.03939049101471082,0.02614881801842452,0.030769230769230764,0.04971979340939825,0.02293403053845936,0.029902317409463062,0.020830867704194792,0.038886540738725904,0.042598071091887534,0.03496969665893809,0.028552637758102697,0.03939049101471082,0.02968163308407749,0.03750958676494307,0.028088336282316224,0.023778508962809492,0.023778508962809492,0.024859896704699118,0.03768445758127968,0.009593993299420376,0.017390589700321177,0.0408650703859211,0.05128205128205126,0.014044168141158136,0.06013353538235168
rank_test_score,13,9,10,17,36,39,42,34,46,50,29,16,24,24,32,36,27,39,38,48,19,5,17,12,7,21,23,41,45,44,29,1,3,8,19,15,5,33,43,47,29,4,26,2,28,21,10,14,34,49
split0_train_score,0.9711538461538461,0.9711538461538461,0.9711538461538461,0.9711538461538461,0.9711538461538461,0.9711538461538461,0.9711538461538461,0.9711538461538461,0.9647435897435898,0.8685897435897436,0.9711538461538461,0.9711538461538461,0.9711538461538461,0.9711538461538461,0.9711538461538461,0.9711538461538461,0.9711538461538461,0.9711538461538461,0.9583333333333334,0.875,0.9711538461538461,0.9711538461538461,0.9711538461538461,0.9711538461538461,0.9711538461538461,0.9711538461538461,0.9711538461538461,0.9711538461538461,0.9615384615384616,0.8782051282051282,0.9711538461538461,0.9711538461538461,0.9711538461538461,0.9711538461538461,0.9711538461538461,0.9711538461538461,0.9711538461538461,0.9711538461538461,0.9519230769230769,0.8814102564102564,0.9711538461538461,0.9711538461538461,0.9711538461538461,0.9711538461538461,0.9711538461538461,0.9711538461538461,0.9711538461538461,0.9711538461538461,0.9647435897435898,0.907051282051282
split1_train_score,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9551282051282052,0.8525641025641025,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9583333333333334,0.8589743589743589,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9615384615384616,0.842948717948718,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9487179487179487,0.8685897435897436,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9583333333333334,0.8589743589743589
split2_train_score,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9551282051282052,0.8493589743589743,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9551282051282052,0.8717948717948718,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9551282051282052,0.8782051282051282,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9519230769230769,0.8846153846153846,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9647435897435898,0.9519230769230769,0.8717948717948718
split3_train_score,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9551282051282052,0.8589743589743589,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9583333333333334,0.8782051282051282,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9519230769230769,0.8557692307692307,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9551282051282052,0.8942307692307693,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9583333333333334,0.9487179487179487,0.8878205128205128
split4_train_score,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9551282051282052,0.9519230769230769,0.8493589743589743,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9551282051282052,0.9519230769230769,0.8525641025641025,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9455128205128205,0.8814102564102564,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9391025641025641,0.8942307692307693,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9551282051282052,0.9326923076923077,0.8878205128205128
