,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
split3_test_score,0.5445544554455446,0.5346534653465347,0.48514851485148514,0.5346534653465347,0.504950495049505,0.5544554455445545,0.5346534653465347,0.594059405940594,0.5544554455445545,0.4752475247524752,0.5148514851485149,0.504950495049505,0.5346534653465347,0.48514851485148514,0.504950495049505,0.5544554455445545,0.5544554455445545,0.6039603960396039,0.5742574257425742,0.5643564356435643,0.5544554455445545,0.5643564356435643,0.5544554455445545,0.5445544554455446,0.504950495049505,0.48514851485148514,0.5445544554455446,0.5148514851485149,0.5643564356435643,0.5148514851485149,0.504950495049505,0.504950495049505,0.5346534653465347,0.5544554455445545,0.44554455445544555,0.49504950495049505,0.5247524752475248,0.48514851485148514,0.5247524752475248,0.5742574257425742,0.5445544554455446,0.48514851485148514,0.48514851485148514,0.49504950495049505,0.5346534653465347,0.48514851485148514,0.5148514851485149,0.45544554455445546,0.6039603960396039,0.5544554455445545
split4_test_score,0.5346534653465347,0.5247524752475248,0.5346534653465347,0.5247524752475248,0.6138613861386139,0.44554455445544555,0.504950495049505,0.5346534653465347,0.49504950495049505,0.5247524752475248,0.5346534653465347,0.5247524752475248,0.5148514851485149,0.5643564356435643,0.5148514851485149,0.594059405940594,0.5841584158415841,0.5247524752475248,0.5445544554455446,0.48514851485148514,0.5544554455445545,0.5841584158415841,0.5346534653465347,0.5643564356435643,0.49504950495049505,0.5544554455445545,0.5247524752475248,0.5346534653465347,0.5643564356435643,0.5346534653465347,0.5445544554455446,0.5841584158415841,0.594059405940594,0.594059405940594,0.5247524752475248,0.5346534653465347,0.504950495049505,0.6732673267326733,0.6039603960396039,0.5742574257425742,0.5346534653465347,0.5148514851485149,0.5346534653465347,0.5544554455445545,0.5742574257425742,0.594059405940594,0.5445544554455446,0.49504950495049505,0.49504950495049505,0.5643564356435643
mean_test_score,0.5638128518734227,0.5855562026790915,0.5559503009124442,0.5953795379537954,0.6073189671908368,0.5656959813628422,0.5500679479712678,0.5777130654241895,0.5342651912250049,0.5657348087749952,0.5677344205008736,0.579596194913609,0.5776742380120365,0.6071636575422248,0.5736556008542031,0.587594641817123,0.6073189671908368,0.5541254125412541,0.5895360124247719,0.5777518928363425,0.5815958066394875,0.5836536594835955,0.6033779848573093,0.5756746262861581,0.5677732479130266,0.5854397204426325,0.5540671714230248,0.5598912832459717,0.5974568045039799,0.5619685497961562,0.5756357988740051,0.5757134536983111,0.587516986992817,0.5975344593282859,0.5677150067947971,0.5737526693845856,0.5657736361871482,0.5797709182682975,0.5915744515628034,0.5857697534459329,0.5855173752669385,0.5519316637546108,0.5874587458745875,0.581537565521258,0.6092797515045623,0.5914191419141914,0.5678509027373326,0.5578528441079402,0.5737720830906621,0.5895360124247719
std_test_score,0.0728149498808013,0.053241380141661986,0.0773501497404721,0.07534575629543865,0.054741611601324014,0.09222385800747074,0.0654150119694516,0.062102913378184986,0.07586480400007305,0.07275293540024234,0.06854031956719649,0.06808533692320481,0.07124257217564094,0.08006020317877315,0.07669481334011906,0.06310134216628734,0.06539335070961427,0.07094097598770822,0.052365556405787474,0.05063040948343844,0.05777101414222121,0.049027599487726475,0.05023672984048614,0.06920460964373472,0.07900060325362968,0.08363812121865408,0.04906162723489607,0.06176463799689048,0.05008141681764767,0.045327307866702186,0.06542788777066165,0.06309812871561636,0.07222529056514462,0.052810148005019014,0.08164832406792029,0.0577476799841677,0.07451969727441561,0.07123741398193328,0.04294839221772047,0.023652523697159634,0.061257918449743785,0.07474057486563841,0.08394512099045963,0.07160921212803383,0.05150490980778323,0.07697654172171306,0.06989225387061018,0.08576627314553226,0.06692048382116812,0.04854022871535529
rank_test_score,41,17,45,8,2,40,49,26,50,39,36,24,27,4,33,13,2,46,11,25,21,20,5,29,35,19,47,43,7,42,30,28,14,6,37,32,38,23,9,16,18,48,15,22,1,10,34,44,31,11
split0_train_score,0.9703703703703703,0.9703703703703703,0.9703703703703703,0.9703703703703703,0.9703703703703703,0.9703703703703703,0.9703703703703703,0.9654320987654321,0.9654320987654321,0.817283950617284,0.9703703703703703,0.9703703703703703,0.9703703703703703,0.9703703703703703,0.9703703703703703,0.9703703703703703,0.9703703703703703,0.9703703703703703,0.9432098765432099,0.854320987654321,0.9703703703703703,0.9703703703703703,0.9703703703703703,0.9703703703703703,0.9703703703703703,0.9703703703703703,0.9703703703703703,0.9654320987654321,0.9555555555555556,0.8419753086419753,0.9703703703703703,0.9703703703703703,0.9703703703703703,0.9703703703703703,0.9703703703703703,0.9703703703703703,0.9679012345679012,0.9679012345679012,0.9580246913580247,0.8148148148148148,0.9703703703703703,0.9703703703703703,0.9703703703703703,0.9703703703703703,0.9703703703703703,0.9703703703703703,0.9703703703703703,0.9679012345679012,0.945679012345679,0.8691358024691358
split1_train_score,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9604938271604938,0.9580246913580247,0.8320987654320988,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9604938271604938,0.9358024691358025,0.8222222222222222,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9432098765432099,0.8518518518518519,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9506172839506173,0.8395061728395061,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.945679012345679,0.8493827160493828
split2_train_score,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9679802955665024,0.9507389162561576,0.7931034482758621,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9655172413793104,0.8571428571428571,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9482758620689655,0.8349753694581281,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9679802955665024,0.9507389162561576,0.8349753694581281,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9507389162561576,0.8374384236453202
split3_train_score,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9655172413793104,0.8374384236453202,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9556650246305419,0.8522167487684729,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9679802955665024,0.9605911330049262,0.8522167487684729,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9679802955665024,0.9507389162561576,0.854679802955665,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9704433497536946,0.9679802955665024,0.9532019704433498,0.8497536945812808
split4_train_score,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9630541871921182,0.9532019704433498,0.8399014778325123,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9556650246305419,0.8251231527093597,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9507389162561576,0.8522167487684729,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9458128078817734,0.8522167487684729,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9556650246305419,0.8669950738916257
