,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
split3_test_score,0.7448979591836735,0.7448979591836735,0.7040816326530612,0.7346938775510204,0.7448979591836735,0.6836734693877551,0.673469387755102,0.6836734693877551,0.6836734693877551,0.6530612244897959,0.6632653061224489,0.7653061224489796,0.7857142857142857,0.7551020408163265,0.7551020408163265,0.7346938775510204,0.7142857142857143,0.7448979591836735,0.7653061224489796,0.7040816326530612,0.6326530612244898,0.6632653061224489,0.7040816326530612,0.7244897959183674,0.7244897959183674,0.7551020408163265,0.7755102040816326,0.6938775510204082,0.7346938775510204,0.6428571428571429,0.6224489795918368,0.673469387755102,0.6632653061224489,0.7448979591836735,0.7448979591836735,0.7142857142857143,0.7346938775510204,0.7448979591836735,0.7551020408163265,0.7040816326530612,0.7448979591836735,0.6632653061224489,0.7142857142857143,0.6632653061224489,0.7653061224489796,0.7244897959183674,0.7040816326530612,0.7448979591836735,0.7551020408163265,0.7959183673469388,0.7755102040816326,0.7448979591836735,0.7040816326530612,0.7755102040816326,0.6632653061224489
split4_test_score,0.6836734693877551,0.6530612244897959,0.7244897959183674,0.6632653061224489,0.6530612244897959,0.6428571428571429,0.6938775510204082,0.6122448979591837,0.5918367346938775,0.6122448979591837,0.6632653061224489,0.6632653061224489,0.6938775510204082,0.6938775510204082,0.6428571428571429,0.6938775510204082,0.7346938775510204,0.6632653061224489,0.6938775510204082,0.6632653061224489,0.5612244897959183,0.6632653061224489,0.673469387755102,0.673469387755102,0.7040816326530612,0.6530612244897959,0.7040816326530612,0.6632653061224489,0.6428571428571429,0.6224489795918368,0.5408163265306123,0.6632653061224489,0.6632653061224489,0.6632653061224489,0.673469387755102,0.7040816326530612,0.6938775510204082,0.6836734693877551,0.6836734693877551,0.6122448979591837,0.7346938775510204,0.6224489795918368,0.6428571428571429,0.6632653061224489,0.7040816326530612,0.7040816326530612,0.7040816326530612,0.7142857142857143,0.6836734693877551,0.6428571428571429,0.6632653061224489,0.6530612244897959,0.6836734693877551,0.6428571428571429,0.6632653061224489
mean_test_score,0.6850752422180995,0.6951762523191094,0.6851164708307566,0.674891774891775,0.6627705627705627,0.66866625438054,0.6768707482993197,0.6544836116264687,0.6119562976705833,0.6260152545866833,0.6626056483199341,0.6972170686456401,0.705400948258091,0.6790970933828077,0.6729334157905587,0.6849515563801278,0.6790352504638218,0.6627705627705629,0.6809729952587096,0.6545042259327974,0.6078540507111935,0.6626056483199341,0.6910533910533911,0.7073180787466502,0.691156462585034,0.6850958565244281,0.7074005359719646,0.6646670789527931,0.6668315811172955,0.6584003298289013,0.6076479076479078,0.6485260770975056,0.6626056483199341,0.680952380952381,0.7073386930529788,0.666749123891981,0.6769325912183055,0.6930529787672646,0.6869717584003299,0.6726860441146156,0.709441352298495,0.636178107606679,0.6646876932591218,0.6626056483199341,0.7054009482580911,0.699196042053185,0.6911152339723767,0.697278911564626,0.7012162440733869,0.6891362605648319,0.6831168831168831,0.6910946196660482,0.6485260770975056,0.6607297464440322,0.6626056483199341
std_test_score,0.03227469704715111,0.03533652896795884,0.03485336066576649,0.03116869483052817,0.04833887367386225,0.01584817895846412,0.012323838530311373,0.026356694622944477,0.04553053050355462,0.016216739048962033,0.0032948085119926117,0.03556757072900692,0.04137535214051099,0.0540299199232367,0.049278774149522746,0.03816841107530875,0.047493500730848785,0.0452782996934025,0.04881019391679806,0.0298321848345938,0.049907469777694065,0.0032948085119926117,0.01376622080125513,0.019695952978750434,0.025695598469013675,0.04540889526497777,0.035383866841434436,0.01968462259314282,0.04836498484163716,0.028543736057259076,0.0358158133642455,0.03138638993472251,0.0032948085119926117,0.034464789896952425,0.023296683514642254,0.03809228192470769,0.03677176241731565,0.03643038462058429,0.04635689546012496,0.033221705507244584,0.02818647407307654,0.01963163935005716,0.025832563636998387,0.0032948085119926117,0.03477954224869917,0.01754695276370264,0.013853887472997983,0.039262109790022294,0.03197540068609576,0.05720858136262394,0.05832124264289723,0.03404869413165334,0.05205057240126198,0.06035242968537978,0.0032948085119926117
rank_test_score,21,11,19,30,39,33,29,48,53,52,40,10,6,26,31,22,27,38,24,47,54,40,16,4,13,20,2,37,34,46,55,49,40,25,3,35,28,12,18,32,1,51,36,40,5,8,14,9,7,17,23,15,49,45,40
split0_train_score,0.9287531806615776,0.9287531806615776,0.9287531806615776,0.9287531806615776,0.9287531806615776,0.9287531806615776,0.9287531806615776,0.9287531806615776,0.905852417302799,0.7811704834605598,0.6641221374045801,0.9287531806615776,0.9287531806615776,0.9287531806615776,0.9287531806615776,0.9287531806615776,0.9287531806615776,0.9287531806615776,0.926208651399491,0.9211195928753181,0.8269720101781171,0.6641221374045801,0.9287531806615776,0.9287531806615776,0.9287531806615776,0.9287531806615776,0.9287531806615776,0.9287531806615776,0.9287531806615776,0.926208651399491,0.9211195928753181,0.8320610687022901,0.6641221374045801,0.9287531806615776,0.9287531806615776,0.9287531806615776,0.9287531806615776,0.9287531806615776,0.9287531806615776,0.9287531806615776,0.9287531806615776,0.910941475826972,0.8702290076335878,0.6641221374045801,0.9287531806615776,0.9287531806615776,0.9287531806615776,0.9287531806615776,0.9287531806615776,0.9287531806615776,0.9287531806615776,0.9287531806615776,0.926208651399491,0.8575063613231552,0.6641221374045801
split1_train_score,0.9363867684478372,0.9363867684478372,0.9363867684478372,0.9363867684478372,0.9363867684478372,0.9363867684478372,0.9363867684478372,0.9363867684478372,0.926208651399491,0.8091603053435115,0.6615776081424937,0.9363867684478372,0.9363867684478372,0.9363867684478372,0.9363867684478372,0.9363867684478372,0.9363867684478372,0.9363867684478372,0.9363867684478372,0.916030534351145,0.8244274809160306,0.6615776081424937,0.9363867684478372,0.9363867684478372,0.9363867684478372,0.9363867684478372,0.9363867684478372,0.9363867684478372,0.9363867684478372,0.9363867684478372,0.926208651399491,0.8371501272264631,0.6615776081424937,0.9363867684478372,0.9363867684478372,0.9363867684478372,0.9363867684478372,0.9363867684478372,0.9363867684478372,0.9363867684478372,0.9363867684478372,0.9211195928753181,0.8473282442748091,0.6615776081424937,0.9363867684478372,0.9363867684478372,0.9363867684478372,0.9363867684478372,0.9363867684478372,0.9363867684478372,0.9363867684478372,0.9363867684478372,0.9312977099236641,0.8498727735368957,0.6615776081424937
split2_train_score,0.9390862944162437,0.9390862944162437,0.9390862944162437,0.9390862944162437,0.9390862944162437,0.9390862944162437,0.9390862944162437,0.9390862944162437,0.9314720812182741,0.817258883248731,0.6624365482233503,0.9390862944162437,0.9390862944162437,0.9390862944162437,0.9390862944162437,0.9390862944162437,0.9390862944162437,0.9390862944162437,0.9390862944162437,0.9213197969543148,0.8350253807106599,0.6624365482233503,0.9390862944162437,0.9390862944162437,0.9390862944162437,0.9390862944162437,0.9390862944162437,0.9390862944162437,0.9390862944162437,0.9390862944162437,0.916243654822335,0.8629441624365483,0.6624365482233503,0.9390862944162437,0.9390862944162437,0.9390862944162437,0.9390862944162437,0.9390862944162437,0.9390862944162437,0.9390862944162437,0.9390862944162437,0.9238578680203046,0.8020304568527918,0.6624365482233503,0.9390862944162437,0.9390862944162437,0.9390862944162437,0.9390862944162437,0.9390862944162437,0.9390862944162437,0.9390862944162437,0.9390862944162437,0.9213197969543148,0.8324873096446701,0.6624365482233503
split3_train_score,0.9238578680203046,0.9238578680203046,0.9238578680203046,0.9238578680203046,0.9238578680203046,0.9238578680203046,0.9238578680203046,0.9213197969543148,0.9111675126903553,0.7969543147208121,0.6624365482233503,0.9238578680203046,0.9238578680203046,0.9238578680203046,0.9238578680203046,0.9238578680203046,0.9238578680203046,0.9238578680203046,0.9238578680203046,0.9086294416243654,0.8071065989847716,0.6624365482233503,0.9238578680203046,0.9238578680203046,0.9238578680203046,0.9238578680203046,0.9238578680203046,0.9238578680203046,0.9238578680203046,0.9238578680203046,0.8984771573604061,0.817258883248731,0.6624365482233503,0.9238578680203046,0.9238578680203046,0.9238578680203046,0.9238578680203046,0.9238578680203046,0.9238578680203046,0.9238578680203046,0.9238578680203046,0.9111675126903553,0.8197969543147208,0.6624365482233503,0.9238578680203046,0.9238578680203046,0.9238578680203046,0.9238578680203046,0.9238578680203046,0.9238578680203046,0.9238578680203046,0.9213197969543148,0.9137055837563451,0.850253807106599,0.6624365482233503
split4_train_score,0.9314720812182741,0.9314720812182741,0.9314720812182741,0.9314720812182741,0.9314720812182741,0.9314720812182741,0.9314720812182741,0.9314720812182741,0.9187817258883249,0.8045685279187818,0.6624365482233503,0.9314720812182741,0.9314720812182741,0.9314720812182741,0.9314720812182741,0.9314720812182741,0.9314720812182741,0.9314720812182741,0.9314720812182741,0.9238578680203046,0.8451776649746193,0.6624365482233503,0.9314720812182741,0.9314720812182741,0.9314720812182741,0.9314720812182741,0.9314720812182741,0.9314720812182741,0.9314720812182741,0.9314720812182741,0.916243654822335,0.8375634517766497,0.6624365482233503,0.9314720812182741,0.9314720812182741,0.9314720812182741,0.9314720812182741,0.9314720812182741,0.9314720812182741,0.9314720812182741,0.9314720812182741,0.9238578680203046,0.8375634517766497,0.6624365482233503,0.9314720812182741,0.9314720812182741,0.9314720812182741,0.9314720812182741,0.9314720812182741,0.9314720812182741,0.9314720812182741,0.9314720812182741,0.9111675126903553,0.8375634517766497,0.6624365482233503
